node	a_force.x	a_force.y	g_force.x	g_force.y	r_force.x	r_force.y	global_speed	move_node.x	move_node.y
0	500.143555	-5280.731934	1.817806	-0.834016	13.934205	-9.373705	1.500000	8.569933	-87.891747
1	93580.460938	350766.250000	20.535416	74.211159	293.993164	1863.129272	1.500000	190.091278	714.052002
2	21391.884766	57320.218750	10.011397	30.393618	261.422607	-15.018456	1.500000	106.816895	282.708618
3	152641.781250	-119730.000000	35.033470	-26.620598	799.215576	-587.357849	1.500000	424.845428	-333.130646
4	-3779.774902	-1253.160156	-2.950328	0.543659	-41.845196	7.838984	1.500000	-72.920448	-23.733316
5	-331714.687500	-156028.093750	-71.034485	-36.798130	-1238.508057	-945.871399	1.500000	-671.284485	-316.490173
6	-509.034180	-8282.123047	0.377950	-1.963964	3.207993	-50.307888	1.500000	-6.714648	-110.718605
7	-2854.198730	-3914.170898	-1.886557	0.664006	-20.952307	3.634662	1.500000	-49.988132	-67.933502
8	1337.460205	-7680.696777	1.255014	-1.557222	12.637172	-65.245995	1.500000	18.492659	-106.021065
9	1517.242676	-2973.869873	1.754659	0.959776	38.911709	6.200589	1.500000	32.503109	-61.895309
10	174.941406	-7606.629395	0.825213	-1.821819	4.248578	-45.146435	1.500000	2.496479	-106.141296
11	-1030.327148	-1645.024902	0.526890	2.953368	-40.209858	69.538971	1.500000	-29.496315	-43.348999
12	1303.953613	-6912.238770	1.446307	-1.381375	-35.539234	-42.922424	1.500000	18.316797	-100.342979
13	-4357.338379	-7245.603027	-2.487643	-1.676793	99.393257	-107.544006	1.500000	-56.100735	-96.847176
14	2871.197754	-8647.296875	1.405027	-1.423340	41.459549	-47.914700	1.500000	36.951195	-110.275993
15	674.586426	-3630.270508	1.827312	0.812978	30.488991	-4.193426	1.500000	14.041425	-72.176277
16	-1203.906738	-6327.025391	0.039446	-1.999611	-12.334406	-11.156552	1.500000	-18.352102	-95.671394
17	-906.148926	-8799.656250	0.154329	-1.994037	3.787999	-53.908405	1.500000	-11.611283	-113.969887
18	-14693.990234	-4814.054199	-3.797422	-1.256817	-201.694763	86.734421	1.500000	-145.005692	-46.019745
19	-2875.095703	-7912.508301	-0.860434	-1.805451	-1.481539	-41.065823	1.500000	-37.978165	-104.999908
20	11080.088867	-4043.367676	2.931153	-0.639017	72.608528	-2.237029	1.500000	124.488899	-45.153183
21	-1869.855957	-4713.458008	-1.877357	-0.689587	-9.277337	-8.432022	1.500000	-31.945869	-80.205177
22	3644.871582	3230.135986	0.345810	2.980003	-36.143681	54.142101	1.500000	62.532810	56.956844
23	-5903.507324	-6584.571777	-1.823269	-0.822003	-191.297333	1.412520	1.500000	-78.151093	-84.398384
24	3317.757812	-1387.876465	1.654721	1.123343	55.462254	16.502037	1.500000	67.572670	-27.435539
25	3165.680176	-3508.912598	1.952918	0.431407	53.732609	7.503781	1.500000	56.530689	-61.437508
26	3729.615723	-4648.164551	1.998886	-0.066746	62.368103	-4.828312	1.500000	59.343914	-72.781334
27	-2867.567871	-1968.042236	-1.086716	1.679002	-32.400711	22.600636	1.500000	-59.306568	-39.736477
28	1163.718506	-4790.705078	1.983733	-0.254562	28.946791	0.037086	1.500000	20.583042	-82.544563
