node	a_force.x	a_force.y	g_force.x	g_force.y	r_force.x	r_force.y	global_speed	move_node.x	move_node.y
0	-591505.562500	308120.375000	-2.615250	11.247422	64677264.000000	12183042.000000	9.700809	6397.202637	1784.230591
1	-766042.312500	156437.828125	-62.351147	-4.807032	35598056.000000	-14995637.000000	9.700809	-8180.729004	-2711.222656
2	890085.062500	-128637.500000	-0.203457	9.110638	-163612144.000000	7948118.000000	9.700809	-6436.874023	834.596802
3	24203.291016	9289.333984	7.982999	-8.911982	-862532.562500	4229324.500000	9.700809	1290.217773	-1618.328125
4	-752008.875000	-571621.125000	0.470444	-0.302429	60267180.000000	39490180.000000	9.700809	4306.150879	3539.937500
5	1185950.500000	692681.687500	78.942352	32.021431	-54850432.000000	-40170596.000000	9.700809	10475.048828	2633.678467
6	45319.500000	-5413.937500	5.067009	-10.241135	72960400.000000	36553648.000000	9.700809	5994.244629	3233.139404
7	61113.179688	-607704.375000	12.727637	-61.672626	2673197.750000	1144223.000000	9.700809	-528.584656	-7614.109375
8	473905.625000	1139372.500000	14.033859	-9.461235	-71213344.000000	-126424056.000000	9.700809	-3754.450195	-5823.801270
9	9854.033203	14566.268555	-1.056059	2.859990	-14419932.000000	-1176123.750000	9.700809	1926.507202	1715.951294
10	-622987.250000	91279.062500	-51.801403	-14.116312	32270322.000000	-26434990.000000	9.700809	-5771.449707	-3911.195801
11	79414.023438	-122151.906250	25.423038	-22.726290	6987144.000000	9979316.000000	9.700809	3045.181396	-1308.229248
12	1297658.250000	-311368.500000	-10.313858	-22.178658	-180518896.000000	73801672.000000	9.700809	-6246.674316	2627.909180
13	-40427.667969	-27470.615234	-11.711712	-10.455435	1249500.750000	4539561.500000	9.700809	-1672.575439	-1790.808105
14	179060.421875	-116749.406250	1.052236	-3.626421	-64808704.000000	9640605.000000	9.700809	-4011.776611	-1088.268799
15	-900551.250000	-266800.062500	1.380661	-3.648705	74960936.000000	24064128.000000	9.700809	5971.291504	3143.196289
16	-731807.000000	14112.160156	-52.061848	23.595856	18557120.000000	40588848.000000	9.700809	-4838.178711	6441.364258
17	-487153.750000	-1173986.000000	26.629082	-14.972763	-51620264.000000	-105045600.000000	9.700809	-3592.931396	-6557.847656
18	-138253.968750	106802.164062	-3.556835	13.559886	44699336.000000	-61875.148438	9.700809	2085.953369	2649.636230
19	-489801.000000	717100.625000	-2.446640	-2.659164	41208580.000000	-37759828.000000	9.700809	6996.715820	-6775.125488
20	282068.281250	1046816.125000	-10.514086	-3.864758	-42975288.000000	-171490096.000000	9.700809	-2533.624756	-6958.767090
21	4710991.000000	-3626053.000000	29.741005	52.047363	-332096512.000000	352864960.000000	9.700809	-5351.435547	4762.149902
22	261926.703125	48759.531250	86.849411	61.069740	-2481046.250000	46938256.000000	9.700809	5089.304199	4580.564453
23	380748.687500	1044547.500000	27.803391	-6.225510	-35055124.000000	-151800992.000000	9.700809	-624.653320	-6308.435059
24	-100294.515625	74030.789062	0.039265	-7.125564	18234500.000000	1618374.750000	9.700809	1976.877075	-2192.844971
25	2294401.500000	-2496577.500000	37.116882	38.770126	-10900295.000000	76240296.000000	9.700809	10139.787109	-9283.052734
26	-947335.562500	-832412.250000	-11.932575	9.321667	59473484.000000	84729440.000000	9.700809	2184.913330	6509.804688
27	-109020.125000	-19592.937500	3.202759	3.591595	47226708.000000	-5429967.000000	9.700809	5156.665039	-1968.605591
