node	a_force.x	a_force.y	g_force.x	g_force.y	r_force.x	r_force.y	global_speed	move_node.x	move_node.y
0	-141702.406250	-116431.085938	-56.076824	-51.297073	-53914680.000000	-46351956.000000	1.500000	0.000000	0.000000
1	-821.296875	108533.835938	0.143910	31.999676	3654886.250000	34936916.000000	1.500000	26.447880	64.636810
2	71664.539062	-42748.207031	39.024239	-20.325081	27074416.000000	-4714530.000000	1.500000	59.931633	11.811173
3	-9674.427734	2418.383301	-2.860758	-0.903364	-4885243.000000	-948192.812500	1.500000	-50.421818	5.623662
4	-260214.609375	-88443.218750	-86.092056	-29.481480	-121737928.000000	-23587154.000000	1.500000	-43.187046	8.838110
5	187356.515625	-141491.109375	30.165796	-30.643509	48909180.000000	-54704996.000000	1.500000	72.714409	-28.444630
6	483424.218750	398191.562500	95.645683	70.801857	182924384.000000	118831160.000000	1.500000	67.721596	53.840893
7	57.232300	82169.671875	0.305999	30.998489	1072433.125000	28681216.000000	1.500000	27.241037	62.583801
8	-245368.484375	146054.484375	-108.950035	33.554268	-95136728.000000	32682890.000000	1.500000	-9.316402	48.250179
9	-13870.246094	-3800.004639	-3.784557	-1.295039	-7224532.000000	-1623266.000000	1.500000	-54.644634	0.447964
10	34279.269531	-134721.109375	4.345784	-28.672533	7806622.500000	-53562472.000000	1.500000	31.107710	-101.324387
11	-28103.312500	-34905.437500	-5.011180	-7.475833	-3985397.000000	-16050498.000000	1.500000	-22.924971	-52.595013
12	-220850.656250	187010.312500	-130.296143	91.125816	-66078592.000000	39336428.000000	1.500000	38.432499	65.202278
13	-11146.830078	-758.042480	-3.516874	-1.905675	-3510293.250000	-1743494.875000	1.500000	-16.058729	18.524414
14	-43623.984375	70614.945312	-8.225812	11.328550	-11354144.000000	16923028.000000	1.500000	-10.119420	71.882545
15	-265818.156250	62693.082031	-77.403397	9.628827	-116222264.000000	6793209.500000	1.500000	-67.251549	24.312424
16	-83873.890625	41977.109375	-35.260468	11.211568	-43290384.000000	6918008.500000	1.500000	-93.436569	10.623924
17	-451174.250000	1010770.937500	-98.645050	238.397064	-126828632.000000	349651872.000000	1.500000	9.506925	146.178696
18	67152.187500	-14117.896484	12.730167	-2.634929	22897728.000000	-2559435.500000	1.500000	83.486153	-36.636417
19	-341275.375000	-516793.625000	-75.459587	-111.941284	-112061952.000000	-169619712.000000	1.500000	-11.920115	-125.201859
20	144049.500000	-199342.546875	32.888832	-45.324661	40923412.000000	-65693016.000000	1.500000	118.580429	-73.692963
21	-426245.875000	331904.687500	-147.286224	88.830009	-169521232.000000	102096584.000000	1.500000	-65.004181	114.526489
22	109001.765625	55266.613281	26.033903	12.776378	48890796.000000	16774000.000000	1.500000	72.726555	44.818520
23	-62954.167969	-214229.312500	-18.524176	-85.005028	-67749488.000000	19623780.000000	1.500000	73.752449	-117.643028
24	-45920.796875	-19474.876953	-15.514389	-3.911999	-11976864.000000	-1322978.875000	1.500000	-4.383673	33.928684
25	110076.414062	935003.500000	29.903217	273.369354	32793134.000000	354794624.000000	1.500000	85.041756	85.770157
26	-20352.818359	107868.195312	-8.160040	47.301311	-7968945.500000	38340236.000000	1.500000	22.729399	59.970364
27	369012.000000	332952.593750	69.745132	59.996799	105095168.000000	93965960.000000	1.500000	157.035034	70.530197
28	-35227.417969	-59616.804688	-10.354151	-20.537563	-13207057.000000	-26981736.000000	1.500000	-70.923889	-127.065994
29	-436090.187500	91779.421875	-147.506577	32.292583	-163411776.000000	19751448.000000	1.500000	-20.173559	45.768932
30	-3634.849609	-6233.022949	-2.757976	-1.180495	-5009311.500000	-1460545.250000	1.500000	-52.287296	-5.473775
31	-39118.179688	-14871.142578	-10.486465	-7.683362	-16451715.000000	-10571891.000000	1.500000	-95.798111	-43.458775
32	52228.625000	-10783.015625	14.939599	-1.344751	20741646.000000	157521.906250	1.500000	74.225716	17.513969
33	-14979.736328	34931.949219	-4.958810	4.940668	-8450592.000000	8624133.000000	1.500000	-63.094326	138.520187
34	200598.187500	-61661.847656	49.379421	-19.252867	72092344.000000	-23349922.000000	1.500000	93.624870	-32.756466
35	-314314.031250	113070.515625	-65.981041	16.446983	-132645280.000000	19908318.000000	1.500000	-98.001076	67.650429
36	76141.695312	-308605.625000	0.420103	-108.999191	3138484.500000	-115599352.000000	1.500000	17.123957	-66.202118
37	-45168.722656	-5668.308594	-27.084259	-7.102312	-18663132.000000	-2134056.500000	1.500000	-2.335348	34.008797
38	624315.687500	391126.531250	124.089096	71.069664	222668928.000000	85124224.000000	1.500000	172.964325	80.403839
39	41859.523438	-63942.156250	16.420626	-26.293787	15400478.000000	-31175372.000000	1.500000	153.131790	-104.270241
40	-186649.109375	-138098.203125	-45.068779	-44.020508	-59259780.000000	-50539128.000000	1.500000	-133.794373	-91.289742
41	-38496.222656	16511.505859	-7.324848	3.216614	-10274411.000000	3788828.250000	1.500000	-112.703171	76.396286
42	374857.812500	-394615.812500	58.221226	-64.647423	95490264.000000	-127341936.000000	1.500000	99.506203	-95.158775
43	11762.891602	-79882.968750	-0.428924	-47.998085	2863621.250000	-34775348.000000	1.500000	25.844095	-137.469986
44	-197324.562500	120261.414062	-52.584911	32.845501	-60041184.000000	34033880.000000	1.500000	-119.595993	123.916321
45	43008.527344	-19329.890625	6.680955	-6.030328	10766975.000000	-7864421.500000	1.500000	105.654610	-14.214664
46	-235793.187500	215912.187500	-36.546501	34.122620	-65347688.000000	58672764.000000	1.500000	-182.807709	201.006210
47	-126670.929688	539477.062500	-26.951607	130.240585	-23153116.000000	183908256.000000	1.500000	58.606281	150.911560
48	-15413.781250	12666.296875	-38.948265	15.717265	-10353269.000000	4963862.000000	1.500000	42.501896	65.573212
49	28383.888672	-10774.149414	10.591257	-7.538252	14559040.000000	-8287993.500000	1.500000	87.889412	-45.067715
50	21167.199219	23573.945312	4.755146	3.659041	7022438.000000	5404428.000000	1.500000	108.801224	96.692551
51	133151.437500	-21516.640625	31.954613	-8.240309	51383376.000000	-10676364.000000	1.500000	67.301758	51.828033
52	-94040.406250	-56684.945312	-18.060797	-10.714833	-33236992.000000	-14798586.000000	1.500000	-68.272621	-41.066658
53	204966.421875	210954.234375	28.730457	39.693336	41643336.000000	76852064.000000	1.500000	174.327148	149.047913
54	263924.562500	50824.347656	56.935364	2.713647	103011112.000000	7593556.000000	1.500000	128.519699	-14.403252
55	-59231.226562	-40285.820312	-12.527536	-14.284986	-16862640.000000	-19929078.000000	1.500000	-102.081963	-123.573769
56	100470.804688	-75727.468750	37.194187	-25.329676	37612564.000000	-22220926.000000	1.500000	88.939095	-49.203213
57	274675.093750	156026.578125	73.368912	36.619709	92810208.000000	36250664.000000	1.500000	157.822601	130.741501
58	-64414.636719	-34311.812500	-20.880907	-20.124304	-12085661.000000	-15914945.000000	1.500000	-49.593765	-60.794174
59	42031.570312	3410.562012	9.988738	0.474449	16879344.000000	1174158.000000	1.500000	164.851532	-1.038207
60	-287964.031250	169535.843750	-51.776466	34.105686	-91685152.000000	54122080.000000	1.500000	-130.752533	145.171631
61	40431.296875	-125755.460938	13.029023	-24.783958	15165737.000000	-43453552.000000	1.500000	55.138775	-169.846024
62	71824.343750	-82021.609375	13.167377	-18.857895	16090855.000000	-27420234.000000	1.500000	197.022034	-164.903763
63	460605.906250	-269041.593750	70.363312	-47.686516	124381904.000000	-68120336.000000	1.500000	173.833710	-61.225838
64	294593.062500	349672.843750	69.928871	102.400940	72355240.000000	104891128.000000	1.500000	30.087307	99.668419
65	-58310.667969	95707.750000	-43.902180	112.754593	-11891526.000000	34029852.000000	1.500000	-9.631933	111.584106
66	107679.851562	-80644.992188	50.297127	-66.024231	25359682.000000	-22355972.000000	1.500000	-77.790474	58.173023
67	264413.281250	52777.203125	58.567989	13.030382	107791424.000000	13753703.000000	1.500000	91.924446	81.762314
68	23499.406250	43718.660156	3.501507	10.427821	3244937.250000	12264223.000000	1.500000	8.365780	80.506737
69	104834.695312	66454.171875	80.741570	74.704742	40501480.000000	31626872.000000	1.500000	-46.428612	-25.820427
70	-44601.402344	84864.742188	-9.256327	19.957966	-10619202.000000	21118782.000000	1.500000	-64.415260	92.038406
71	99767.531250	-130987.148438	17.725599	-27.835289	19703614.000000	-43718784.000000	1.500000	142.650848	-124.776024
72	-99823.429688	54468.304688	-29.466803	9.628469	-36995860.000000	11640836.000000	1.500000	-113.306702	86.295967
73	12116.550781	492.343018	2.999985	-0.009567	2689168.500000	-123707.828125	1.500000	109.039635	4.430708
74	124143.453125	88553.187500	26.189108	12.455146	50504608.000000	14946540.000000	1.500000	241.459488	125.265846
75	-625185.437500	-540005.625000	-96.167389	-91.874023	-182375360.000000	-160479872.000000	1.500000	-121.704010	-190.480347
76	36396.218750	376647.000000	15.291245	169.310898	15687754.000000	147887952.000000	1.500000	-13.812460	109.228333
77	-475936.312500	-295337.093750	-113.208862	-63.904247	-178190288.000000	-74170400.000000	1.500000	-48.455914	-63.004116
78	250185.515625	-324111.875000	54.635468	-58.437710	88775344.000000	-99579664.000000	1.500000	104.866951	-124.340736
79	-2019.369995	-5739.632324	-1.920637	3.508726	-507273.312500	1042298.125000	1.500000	-9.285722	-44.926132
80	9980.856445	19435.630859	3.187713	3.852075	4735548.500000	6536660.000000	1.500000	56.731483	22.400278
81	-36604.609375	-18400.712891	-9.874509	-1.579263	-12703152.000000	-2229132.250000	1.500000	-48.901894	-48.826996
82	-18384.257812	-20067.253906	-4.589550	-8.884595	-5470073.000000	-12783941.000000	1.500000	-1.074460	-112.178238
83	-189682.375000	198653.500000	-31.206913	29.582573	-57627772.000000	53400540.000000	1.500000	-52.216423	83.370483
84	160066.250000	44551.269531	35.293461	11.107279	60321764.000000	13853487.000000	1.500000	140.147751	13.034339
85	-1915.373779	-1035.077881	0.355300	-3.984189	334742.843750	-2285279.750000	1.500000	-40.188210	-21.717916
86	-13080.384766	-32260.640625	-4.898495	-25.534382	-2548786.750000	-17310570.000000	1.500000	-32.610863	-64.946114
87	-7358.179688	7229.692383	-5.458670	5.848326	-1974990.250000	2667672.750000	1.500000	33.278870	76.777191
88	22661.380859	-22579.429688	6.306141	-4.922660	11747935.000000	-7738189.000000	1.500000	35.002670	-94.824760
89	-94762.304688	52948.351562	-13.791795	13.068526	-22591706.000000	21183832.000000	1.500000	-117.358788	73.075645
90	72679.539062	-73125.101562	15.582567	-14.077772	27049074.000000	-21891500.000000	1.500000	79.927925	-119.758530
91	46925.867188	-14256.613281	10.842745	-1.853343	16194227.000000	-3837506.250000	1.500000	132.589508	-55.689209
92	95963.078125	-109962.617188	13.690140	-18.481884	20866928.000000	-35568748.000000	1.500000	137.075546	-113.379684
93	123.800903	2922.935303	1.878467	2.339094	2098537.500000	2320492.250000	1.500000	2.247313	53.058990
94	-27678.863281	-23976.605469	-6.898928	-5.779688	-11956873.000000	-8073303.000000	1.500000	-104.126221	-92.591507
95	-30365.154297	70017.765625	-5.567773	14.999997	-6099614.500000	26705918.000000	1.500000	-49.275738	52.252293
96	-87791.148438	-5367.742188	-20.971188	-1.099648	-30767558.000000	-1545660.500000	1.500000	-91.962135	40.106682
97	-6063.104492	-2942.742920	-8.098244	-7.444357	-3584067.000000	-2523771.750000	1.500000	-95.368195	-56.637760
98	-1880.598877	-4780.226562	4.649997	-1.837807	1860753.000000	-563105.437500	1.500000	-25.877968	-65.778275
99	-430767.312500	217302.265625	-248.820892	132.710800	-149533680.000000	49849576.000000	1.500000	-87.880898	-14.668684
100	-469871.218750	504211.687500	-105.313049	87.625122	-182813120.000000	134286496.000000	1.500000	-88.552650	89.232796
101	888546.437500	99876.085938	222.943375	30.352215	312917056.000000	34664512.000000	1.500000	186.965698	-70.105965
102	-656465.500000	-230044.187500	-155.906189	-74.981728	-225712096.000000	-88839880.000000	1.500000	-112.240646	-80.687073
103	-253393.453125	-345767.781250	-44.882866	-62.566185	-72703048.000000	-116087592.000000	1.500000	-124.583740	-132.323502
104	-20921.478516	-296508.687500	-3.169672	-138.963867	9762729.000000	-118217352.000000	1.500000	34.153294	-88.282455
105	45007.996094	-3164.128418	10.712469	-2.498602	16046085.000000	-1981247.375000	1.500000	78.711754	-48.957603
106	-150456.593750	267984.062500	-38.625175	95.483482	-36723500.000000	91058296.000000	1.500000	-35.524830	156.021423
107	289939.500000	-249232.843750	79.650475	-58.794563	115073120.000000	-74073888.000000	1.500000	179.205688	-138.920242
108	282815.625000	62687.171875	96.264572	11.921875	107589528.000000	9212969.000000	1.500000	130.172501	2.543193
109	-257741.015625	217432.375000	-40.466930	32.656204	-77866424.000000	54444808.000000	1.500000	-108.029564	84.708977
110	118424.109375	-103898.843750	50.090137	-41.424366	41524068.000000	-33741052.000000	1.500000	95.988373	-81.376656
111	427657.718750	321876.531250	91.780701	75.745003	125232256.000000	100946560.000000	1.500000	119.583771	54.172348
112	243705.921875	-221935.531250	73.865005	-58.137424	103585608.000000	-77962616.000000	1.500000	127.247696	-167.284164
113	-376803.093750	-56647.687500	-117.877144	-22.471745	-136911136.000000	-19462990.000000	1.500000	-167.051331	-49.318001
114	179578.937500	86826.367188	133.664902	9.470510	81433856.000000	12525009.000000	1.500000	93.151886	52.272831
115	-819872.187500	515307.156250	-151.008118	88.439499	-281628288.000000	122554056.000000	1.500000	-236.593506	106.018951
116	-110226.500000	273099.468750	-22.383417	68.432327	-22019960.000000	112514168.000000	1.500000	-61.000523	189.903458
117	-147423.625000	-6530.505371	-61.759346	-5.457394	-40570236.000000	-3259072.750000	1.500000	-131.936325	-34.910191
118	-167600.890625	-12823.141602	-53.814915	-4.467138	-47018284.000000	-5472473.000000	1.500000	-136.176605	-58.734779
119	10053.096680	77685.148438	0.760126	37.992397	-1739585.625000	33388258.000000	1.500000	-36.595951	78.729904
120	177879.640625	-64165.953125	57.511929	-25.717285	35338016.000000	-10223951.000000	1.500000	154.833466	-137.503815
121	-90493.710938	-88266.843750	-18.231113	-19.915485	-27777578.000000	-32255052.000000	1.500000	-112.513733	-94.859833
122	-96762.070312	173419.062500	-21.072416	31.622038	-35732408.000000	57609732.000000	1.500000	-143.513901	241.063965
123	-133098.750000	466985.500000	-25.934841	95.542572	-32108002.000000	170247168.000000	1.500000	-53.015743	221.088730
124	5459.850586	-102686.335938	3.122447	-91.946991	9939697.000000	-32244640.000000	1.500000	126.031166	-33.073780
125	359610.250000	-285598.625000	84.162422	-64.441338	131550448.000000	-89732680.000000	1.500000	269.517609	-185.560822
126	23610.994141	23779.048828	8.751036	9.613499	9956752.000000	8933906.000000	1.500000	139.178574	37.171352
